,number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_learning_rate,user_attrs_pruned,user_attrs_training_time,state
0,0,0.27052666181642765,2025-02-04 14:15:03.844543,2025-02-04 14:17:42.428016,0 days 00:02:38.583473,512.0,0.0002137254762976749,,158.53231978416443,COMPLETE
1,1,0.2722447166587026,2025-02-04 14:17:42.428285,2025-02-04 14:18:32.060611,0 days 00:00:49.632326,512.0,0.00044237889656780096,,49.584428548812866,COMPLETE
2,2,0.2761510215692989,2025-02-04 14:18:32.060846,2025-02-04 14:20:11.470406,0 days 00:01:39.409560,128.0,0.0009458855424594681,,99.3618221282959,COMPLETE
3,3,0.27360940256473393,2025-02-04 14:20:11.470650,2025-02-04 14:21:00.827851,0 days 00:00:49.357201,256.0,0.0007388671944669787,,49.309577226638794,COMPLETE
4,4,0.27075348773191815,2025-02-04 14:21:00.828087,2025-02-04 14:22:18.506863,0 days 00:01:17.678776,512.0,0.0003252972769112215,,77.63103294372559,COMPLETE
5,5,0.27751576102556724,2025-02-04 14:22:18.507100,2025-02-04 14:23:21.587265,0 days 00:01:03.080165,512.0,0.00040451768236432397,,63.03230381011963,COMPLETE
6,6,0.2736153224195,2025-02-04 14:23:21.587493,2025-02-04 14:24:38.943186,0 days 00:01:17.355693,1024.0,0.0003503014516406083,,77.30777502059937,COMPLETE
7,7,0.2762524935369905,2025-02-04 14:24:38.943423,2025-02-04 14:26:38.178394,0 days 00:01:59.234971,128.0,0.0009402653238331822,,119.18722867965698,COMPLETE
8,8,0.2729048812259878,2025-02-04 14:26:38.178615,2025-02-04 14:27:51.918554,0 days 00:01:13.739939,512.0,0.0001365817841335476,,73.68769073486328,COMPLETE
9,9,0.27152313665240163,2025-02-04 14:27:51.918770,2025-02-04 14:29:07.179172,0 days 00:01:15.260402,128.0,0.00019256808906915676,,75.21030163764954,COMPLETE
10,10,0.273709379998565,2025-02-04 14:29:07.179381,2025-02-04 14:29:56.452015,0 days 00:00:49.272634,,0.00010378313780091114,,49.22928786277771,COMPLETE
11,11,0.2693266430543677,2025-02-04 14:29:56.452242,2025-02-04 14:31:04.188362,0 days 00:01:07.736120,256.0,0.00024513121658686774,,67.68582010269165,COMPLETE
12,12,0.2700616216274379,2025-02-04 14:31:04.188570,2025-02-04 14:32:24.739339,0 days 00:01:20.550769,256.0,0.00012666503581555517,,80.5006000995636,COMPLETE
13,13,0.2708194149109277,2025-02-04 14:32:24.739546,2025-02-04 14:33:46.179783,0 days 00:01:21.440237,256.0,0.0001875954717746995,,81.3901162147522,COMPLETE
14,14,0.27005822998909157,2025-02-04 14:33:46.179992,2025-02-04 14:34:49.897659,0 days 00:01:03.717667,256.0,0.00012559374980062812,,63.66746258735657,COMPLETE
15,15,0.2692360982765509,2025-02-04 14:34:49.897873,2025-02-04 14:35:56.884911,0 days 00:01:06.987038,1024.0,0.0001161404627424726,,66.93669009208679,COMPLETE
16,16,0.2712336040249865,2025-02-04 14:35:56.885132,2025-02-04 14:37:00.416817,0 days 00:01:03.531685,1024.0,0.00010910176099404405,,63.481321811676025,COMPLETE
17,17,0.27132152926427344,2025-02-04 14:37:00.417025,2025-02-04 14:38:20.611376,0 days 00:01:20.194351,64.0,0.0002313423897417669,,80.14431691169739,COMPLETE
18,18,0.26902289994611683,2025-02-04 14:38:20.611590,2025-02-04 14:39:42.738241,0 days 00:01:22.126651,256.0,0.00034133829163332497,,82.07639622688293,COMPLETE
19,19,0.28442738022814384,2025-02-04 14:39:42.738448,2025-02-04 14:40:34.677371,0 days 00:00:51.938923,,0.0005006814860256085,,51.89552021026611,COMPLETE
20,20,0.27462495739327797,2025-02-04 14:40:34.677579,2025-02-04 14:41:45.853796,0 days 00:01:11.176217,256.0,0.00041073462427859854,,71.12600588798523,COMPLETE
21,21,0.2721212697174028,2025-02-04 14:41:45.854007,2025-02-04 14:43:31.105167,0 days 00:01:45.251160,256.0,0.00030598441248390974,,105.20079755783081,COMPLETE
22,22,0.2710426562530205,2025-02-04 14:43:31.105385,2025-02-04 14:44:53.331734,0 days 00:01:22.226349,64.0,0.0004911151990358802,,82.17609453201294,COMPLETE
23,23,0.26997386392176137,2025-02-04 14:44:53.331945,2025-02-04 14:46:36.239790,0 days 00:01:42.907845,1024.0,0.0001946125036552416,,102.85577321052551,COMPLETE
24,24,0.2699264976505455,2025-02-04 14:46:36.240007,2025-02-04 14:47:31.635325,0 days 00:00:55.395318,256.0,0.00027346959501012427,,55.344937801361084,COMPLETE
25,25,0.2732352655529226,2025-02-04 14:47:31.635537,2025-02-04 14:49:06.093154,0 days 00:01:34.457617,,0.00019463829950359368,,94.41407799720764,COMPLETE
26,26,0.27176777371791566,2025-02-04 14:49:06.093371,2025-02-04 14:50:33.569726,0 days 00:01:27.476355,1024.0,0.00014709894671728982,,87.4258189201355,COMPLETE
27,27,0.26833326733599383,2025-02-04 14:50:33.569936,2025-02-04 14:51:19.811770,0 days 00:00:46.241834,64.0,0.00010517096754951986,,46.19160223007202,COMPLETE
28,28,0.27109349062999905,2025-02-04 14:51:19.811975,2025-02-04 14:52:15.388077,0 days 00:00:55.576102,64.0,0.00010181022367890912,,55.52578401565552,COMPLETE
29,29,0.26964225403125447,2025-02-04 14:52:15.388289,2025-02-04 14:53:29.716967,0 days 00:01:14.328678,64.0,0.00013963370770667832,,74.27833914756775,COMPLETE
30,30,0.2688063609861384,2025-02-04 14:53:29.717191,2025-02-04 14:54:29.236418,0 days 00:00:59.519227,128.0,0.00012529839869511716,,59.46882772445679,COMPLETE
31,31,0.2701458681617445,2025-02-04 14:54:29.236629,2025-02-04 14:57:27.950264,0 days 00:02:58.713635,128.0,0.00011550062973026254,,178.66312503814697,COMPLETE
32,32,0.271563505028356,2025-02-04 14:57:27.950482,2025-02-04 14:58:34.698148,0 days 00:01:06.747666,128.0,0.00010890531903598231,,66.69724106788635,COMPLETE
33,33,0.2698396892601189,2025-02-04 14:58:34.698364,2025-02-04 14:59:19.680702,0 days 00:00:44.982338,1024.0,0.0001044107679527936,,44.931952238082886,COMPLETE
34,34,0.269675874110686,2025-02-04 14:59:19.680927,2025-02-04 15:00:11.726418,0 days 00:00:52.045491,128.0,0.00034296790992731265,,51.99494290351868,COMPLETE
35,35,0.2689656492994133,2025-02-04 15:00:11.726633,2025-02-04 15:01:35.550985,0 days 00:01:23.824352,64.0,0.00011213769669144649,,83.7741150856018,COMPLETE
36,36,0.2700661561037321,2025-02-04 15:01:35.551210,2025-02-04 15:02:18.524063,0 days 00:00:42.972853,64.0,0.00010173791503354413,,42.922510385513306,COMPLETE
37,37,0.2897664612945187,2025-02-04 15:02:18.524282,2025-02-04 15:03:01.432608,0 days 00:00:42.908326,1024.0,0.0008302078810901052,,42.85773253440857,COMPLETE
38,38,0.2686767295498961,2025-02-04 15:03:01.432832,2025-02-04 15:05:16.823894,0 days 00:02:15.391062,64.0,0.00016734603993013398,,135.34077739715576,COMPLETE
39,39,0.26893397657556933,2025-02-04 15:05:16.824123,2025-02-04 15:06:05.531113,0 days 00:00:48.706990,64.0,0.00017145882541829378,,48.65666127204895,COMPLETE
40,40,0.27163530998079166,2025-02-04 15:06:05.531331,2025-02-04 15:07:46.469969,0 days 00:01:40.938638,64.0,0.0001908215092180542,,100.88848352432251,COMPLETE
41,41,0.2690834813613184,2025-02-04 15:07:46.470196,2025-02-04 15:09:41.828541,0 days 00:01:55.358345,64.0,0.0001682907836463438,,115.30823016166687,COMPLETE
42,42,0.2685197288579503,2025-02-04 15:09:41.828758,2025-02-04 15:11:35.250673,0 days 00:01:53.421915,64.0,0.00013769359271002292,,113.37166976928711,COMPLETE
43,43,0.26886360066096354,2025-02-04 15:11:35.250899,2025-02-04 15:13:13.860297,0 days 00:01:38.609398,64.0,0.00016259847507477587,,98.55896592140198,COMPLETE
44,44,0.27014859063358093,2025-02-04 15:13:13.860510,2025-02-04 15:15:18.699698,0 days 00:02:04.839188,128.0,0.00018219724640579702,,124.78895831108093,COMPLETE
45,45,0.2697029820124336,2025-02-04 15:15:18.699915,2025-02-04 15:16:53.108354,0 days 00:01:34.408439,512.0,0.00012460366729420653,,94.35807013511658,COMPLETE
46,46,0.26965918984127474,2025-02-04 15:16:53.108572,2025-02-04 15:17:44.830236,0 days 00:00:51.721664,64.0,0.000158658140883325,,51.671459674835205,COMPLETE
47,47,0.2702184728791852,2025-02-04 15:17:44.830452,2025-02-04 15:18:43.384631,0 days 00:00:58.554179,64.0,0.00015141707738702042,,58.50375509262085,COMPLETE
48,48,0.2748243621944571,2025-02-04 15:18:43.384849,2025-02-04 15:19:40.769914,0 days 00:00:57.385065,,0.00014675685965390614,,57.34165930747986,COMPLETE
49,49,0.2709050528029902,2025-02-04 15:19:40.770136,2025-02-04 15:20:46.891962,0 days 00:01:06.121826,512.0,0.0001950357419132305,,66.07127451896667,COMPLETE
50,50,0.26891170713797946,2025-02-04 15:20:46.892192,2025-02-04 15:22:28.671433,0 days 00:01:41.779241,128.0,0.00014231222918014097,,101.72893929481506,COMPLETE
51,51,0.26903200259292315,2025-02-04 15:22:28.671652,2025-02-04 15:23:49.440508,0 days 00:01:20.768856,128.0,0.00014860907549281075,,80.71862316131592,COMPLETE
52,52,0.26926991481893503,2025-02-04 15:23:49.440728,2025-02-04 15:25:37.772640,0 days 00:01:48.331912,128.0,0.0001623748217639489,,108.28159141540527,COMPLETE
53,53,0.26921916525296397,2025-02-04 15:25:37.772855,2025-02-04 15:26:30.083504,0 days 00:00:52.310649,128.0,0.00014964728112334456,,52.260491132736206,COMPLETE
54,54,0.268828317942222,2025-02-04 15:26:30.083722,2025-02-04 15:28:19.502743,0 days 00:01:49.419021,64.0,0.00027881801337845076,,109.36866497993469,COMPLETE
55,55,0.2711172633105048,2025-02-04 15:28:19.502965,2025-02-04 15:29:12.479083,0 days 00:00:52.976118,64.0,0.00027829655557609715,,52.92563462257385,COMPLETE
56,56,0.2714381480476947,2025-02-04 15:29:12.479301,2025-02-04 15:30:36.816797,0 days 00:01:24.337496,64.0,0.000940396590475673,,84.28692626953125,COMPLETE
57,57,0.26927177153320975,2025-02-04 15:30:36.817014,2025-02-04 15:32:00.600509,0 days 00:01:23.783495,64.0,0.00024653330115712534,,83.73293685913086,COMPLETE
58,58,0.2858037546222773,2025-02-04 15:32:00.600728,2025-02-04 15:32:52.082823,0 days 00:00:51.482095,512.0,0.0007616903256760795,,51.4315505027771,COMPLETE
59,59,0.2694306451588131,2025-02-04 15:32:52.083046,2025-02-04 15:34:05.466526,0 days 00:01:13.383480,64.0,0.00014725136159404498,,73.33321404457092,COMPLETE
60,60,0.2703639210088442,2025-02-04 15:34:05.466743,2025-02-04 15:35:03.851789,0 days 00:00:58.385046,64.0,0.00028678950902820394,,58.3345787525177,COMPLETE
61,61,0.2705739295829755,2025-02-04 15:35:03.852004,2025-02-04 15:35:42.446875,0 days 00:00:38.594871,128.0,0.00010432781946685557,,38.544363021850586,COMPLETE
62,62,0.2699962640428193,2025-02-04 15:35:42.447103,2025-02-04 15:36:31.068333,0 days 00:00:48.621230,64.0,0.00013181915645676883,,48.57097148895264,COMPLETE
63,63,0.2706075326576141,2025-02-04 15:36:31.068562,2025-02-04 15:38:27.898690,0 days 00:01:56.830128,64.0,0.00019280143495398894,,116.77952027320862,COMPLETE
64,64,0.270409376903288,2025-02-04 15:38:27.898907,2025-02-04 15:40:14.148958,0 days 00:01:46.250051,256.0,0.0001576977505439551,,106.19921684265137,COMPLETE
65,65,0.2710337244463373,2025-02-04 15:40:14.149185,2025-02-04 15:41:39.818883,0 days 00:01:25.669698,128.0,0.00023543712742016214,,85.61894631385803,COMPLETE
66,66,0.2695006165305445,2025-02-04 15:41:39.819109,2025-02-04 15:42:48.006128,0 days 00:01:08.187019,64.0,0.0001056876592349962,,68.13626551628113,COMPLETE
67,67,0.27163696028043843,2025-02-04 15:42:48.006346,2025-02-04 15:44:06.335168,0 days 00:01:18.328822,1024.0,0.00024129741479886473,,78.27795839309692,COMPLETE
68,68,0.27581213589949233,2025-02-04 15:44:06.335390,2025-02-04 15:44:52.653027,0 days 00:00:46.317637,,0.0002636150063237946,,46.27374744415283,COMPLETE
69,69,0.26964174871070556,2025-02-04 15:44:52.653261,2025-02-04 15:46:25.063367,0 days 00:01:32.410106,64.0,0.0003376597086342026,,92.35943722724915,COMPLETE
70,70,0.27340892971726394,2025-02-04 15:46:25.063587,2025-02-04 15:47:57.403694,0 days 00:01:32.340107,,0.00011401433807796319,,92.29628491401672,COMPLETE
71,71,0.2687097665573203,2025-02-04 15:47:57.403911,2025-02-04 15:48:58.151036,0 days 00:01:00.747125,64.0,0.0001873292678943291,,60.6964271068573,COMPLETE
72,72,0.2700819434044089,2025-02-04 15:48:58.151265,2025-02-04 15:49:51.939681,0 days 00:00:53.788416,64.0,0.00019207751759485047,,53.737713098526,COMPLETE
73,73,0.2689774494570825,2025-02-04 15:49:51.939906,2025-02-04 15:51:12.996909,0 days 00:01:21.057003,64.0,0.00016348639061055008,,81.00607514381409,COMPLETE
74,74,0.26869517605459015,2025-02-04 15:51:12.997145,2025-02-04 15:53:10.261168,0 days 00:01:57.264023,128.0,0.00012850376509213185,,117.21317791938782,COMPLETE
75,75,0.2716193812001793,2025-02-04 15:53:10.261390,2025-02-04 15:53:59.663046,0 days 00:00:49.401656,512.0,0.00027367657087043907,,49.35087490081787,COMPLETE
76,76,0.2727571421554331,2025-02-04 15:53:59.663264,2025-02-04 15:55:33.116328,0 days 00:01:33.453064,64.0,0.0001352474059366551,,93.40222907066345,COMPLETE
77,77,0.26904126796910544,2025-02-04 15:55:33.116551,2025-02-04 15:57:40.316136,0 days 00:02:07.199585,256.0,0.00011098136481267361,,127.14863348007202,COMPLETE
78,78,0.2727806577315488,2025-02-04 15:57:40.316357,2025-02-04 15:58:23.362539,0 days 00:00:43.046182,128.0,0.00010319442460847229,,42.99524474143982,COMPLETE
79,79,0.269349310431177,2025-02-04 15:58:23.362763,2025-02-04 16:00:58.901751,0 days 00:02:35.538988,512.0,0.00010598270643197779,,155.48784804344177,COMPLETE
80,80,0.2729916767158232,2025-02-04 16:00:58.901977,2025-02-04 16:01:59.948835,0 days 00:01:01.046858,64.0,0.00021175549714779555,,60.99613308906555,COMPLETE
81,81,0.2716127866693607,2025-02-04 16:01:59.949066,2025-02-04 16:03:10.180878,0 days 00:01:10.231812,128.0,0.00015579479370858522,,70.1812162399292,COMPLETE
82,82,0.2697487221020557,2025-02-04 16:03:10.181112,2025-02-04 16:06:34.748022,0 days 00:03:24.566910,128.0,0.00013400805753543531,,204.5163333415985,COMPLETE
83,83,0.2721972624804944,2025-02-04 16:06:34.748258,2025-02-04 16:08:07.434365,0 days 00:01:32.686107,128.0,0.0005304207667878488,,92.63840365409851,COMPLETE
84,84,0.2713547239889156,2025-02-04 16:08:07.434598,2025-02-04 16:08:54.042801,0 days 00:00:46.608203,64.0,0.00010580360034847799,,46.560359477996826,COMPLETE
85,85,0.27128196082865896,2025-02-04 16:08:54.043032,2025-02-04 16:10:47.936676,0 days 00:01:53.893644,128.0,0.0001588912872209363,,113.84563446044922,COMPLETE
86,86,0.26971974525090203,2025-02-04 16:10:47.936912,2025-02-04 16:12:16.226868,0 days 00:01:28.289956,128.0,0.00012984453971669074,,88.23928570747375,COMPLETE
87,87,0.27017867533951057,2025-02-04 16:12:16.227103,2025-02-04 16:13:12.889540,0 days 00:00:56.662437,64.0,0.00016516734763140898,,56.61175584793091,COMPLETE
88,88,0.27161894930189223,2025-02-04 16:13:12.889770,2025-02-04 16:14:29.336019,0 days 00:01:16.446249,1024.0,0.00016445891023781584,,76.39567017555237,COMPLETE
89,89,0.2717857095734549,2025-02-04 16:14:29.336253,2025-02-04 16:15:42.348785,0 days 00:01:13.012532,64.0,0.0002214242309809966,,72.96174716949463,COMPLETE
90,90,0.26928875218274057,2025-02-04 16:15:42.349017,2025-02-04 16:17:34.243792,0 days 00:01:51.894775,512.0,0.0001709112562801875,,111.84372878074646,COMPLETE
91,91,0.26934988838097335,2025-02-04 16:17:34.244021,2025-02-04 16:18:23.639869,0 days 00:00:49.395848,64.0,0.00015524515987844646,,49.34502720832825,COMPLETE
92,92,0.26964508938789034,2025-02-04 16:18:23.640102,2025-02-04 16:19:38.065049,0 days 00:01:14.424947,64.0,0.00017112722429928886,,74.37444639205933,COMPLETE
93,93,0.27133051777834394,2025-02-04 16:19:38.065276,2025-02-04 16:20:44.565778,0 days 00:01:06.500502,64.0,0.00014035718824007324,,66.44994235038757,COMPLETE
94,94,0.2684090417193569,2025-02-04 16:20:44.566002,2025-02-04 16:23:15.352274,0 days 00:02:30.786272,64.0,0.00022063553813434219,,150.73571276664734,COMPLETE
95,95,0.27501320797456597,2025-02-04 16:23:15.352502,2025-02-04 16:24:15.448915,0 days 00:01:00.096413,1024.0,0.0003969414933840063,,60.04526901245117,COMPLETE
96,96,0.271093567701314,2025-02-04 16:24:15.449153,2025-02-04 16:24:58.383964,0 days 00:00:42.934811,64.0,0.00026431636941585696,,42.883872509002686,COMPLETE
97,97,0.26839917659175466,2025-02-04 16:24:58.384204,2025-02-04 16:26:45.761027,0 days 00:01:47.376823,64.0,0.00025122201413351765,,107.32604122161865,COMPLETE
98,98,0.27001462791843095,2025-02-04 16:26:45.761272,2025-02-04 16:28:01.132939,0 days 00:01:15.371667,64.0,0.0003572598490413553,,75.32091283798218,COMPLETE
99,99,0.26846109464465223,2025-02-04 16:28:01.133182,2025-02-04 16:29:19.572351,0 days 00:01:18.439169,64.0,0.0002489120394862892,,78.38833212852478,COMPLETE
100,100,0.27129436234360677,2025-02-04 16:29:19.572591,2025-02-04 16:30:38.670601,0 days 00:01:19.098010,64.0,0.00027580694296299655,,79.04712557792664,COMPLETE
101,101,0.26850056980438713,2025-02-04 16:30:38.670833,2025-02-04 16:32:00.770112,0 days 00:01:22.099279,64.0,0.00024156210886865017,,82.04779243469238,COMPLETE
102,102,0.26890629153033097,2025-02-04 16:32:00.770348,2025-02-04 16:33:08.334638,0 days 00:01:07.564290,64.0,0.0002710433744088976,,67.51331114768982,COMPLETE
103,103,0.26875847615772147,2025-02-04 16:33:08.334876,2025-02-04 16:34:47.403270,0 days 00:01:39.068394,64.0,0.0002830406335319935,,99.02067589759827,COMPLETE
104,104,0.2709576205379166,2025-02-04 16:34:47.403503,2025-02-04 16:36:50.133984,0 days 00:02:02.730481,64.0,0.00024566821348101823,,122.68270182609558,COMPLETE
105,105,0.2692384139840862,2025-02-04 16:36:50.134219,2025-02-04 16:37:56.211657,0 days 00:01:06.077438,64.0,0.000237623153829947,,66.02970576286316,COMPLETE
106,106,0.2710556381296103,2025-02-04 16:37:56.211891,2025-02-04 16:38:45.063064,0 days 00:00:48.851173,64.0,0.00023511422609365972,,48.803390979766846,COMPLETE
107,107,0.2709955049963503,2025-02-04 16:38:45.063292,2025-02-04 16:40:06.070424,0 days 00:01:21.007132,64.0,0.0004910302896661159,,80.95922827720642,COMPLETE
108,108,0.2812810188296799,2025-02-04 16:40:06.070654,2025-02-04 16:40:49.236401,0 days 00:00:43.165747,,0.00039362430204321647,,43.12473130226135,COMPLETE
109,109,0.2709710755137019,2025-02-04 16:40:49.236631,2025-02-04 16:42:00.249148,0 days 00:01:11.012517,256.0,0.00023181065143975475,,70.9645767211914,COMPLETE
110,110,0.27532998101033007,2025-02-04 16:42:00.249376,2025-02-04 16:42:39.737724,0 days 00:00:39.488348,,0.00019074497395079644,,39.447322607040405,COMPLETE
111,111,0.2703613390318365,2025-02-04 16:42:39.737960,2025-02-04 16:44:03.021639,0 days 00:01:23.283679,64.0,0.0003397310492905543,,83.23567199707031,COMPLETE
112,112,0.2699465810304967,2025-02-04 16:44:03.021870,2025-02-04 16:45:37.183340,0 days 00:01:34.161470,64.0,0.0002777859513870946,,94.11363196372986,COMPLETE
113,113,0.2998518867549164,2025-02-04 16:45:37.183571,2025-02-04 16:46:28.731091,0 days 00:00:51.547520,,0.0009815978816541812,,51.506245374679565,COMPLETE
114,114,0.2703116800377478,2025-02-04 16:46:28.731319,2025-02-04 16:47:57.934239,0 days 00:01:29.202920,64.0,0.00022894471349195312,,89.15523672103882,COMPLETE
115,115,0.269697165344534,2025-02-04 16:47:57.934469,2025-02-04 16:49:15.052594,0 days 00:01:17.118125,64.0,0.00022743404899556546,,77.07049369812012,COMPLETE
116,116,0.2695896030830984,2025-02-04 16:49:15.052822,2025-02-04 16:50:34.206818,0 days 00:01:19.153996,64.0,0.00033072765076179103,,79.10303974151611,COMPLETE
117,117,0.2767164356728472,2025-02-04 16:50:34.207065,2025-02-04 16:52:36.174287,0 days 00:02:01.967222,256.0,0.0009913895722063488,,121.91639304161072,COMPLETE
118,118,0.26916568230510174,2025-02-04 16:52:36.174518,2025-02-04 16:53:56.302123,0 days 00:01:20.127605,64.0,0.00021273797297344515,,80.07663869857788,COMPLETE
119,119,0.268174254023178,2025-02-04 16:53:56.302356,2025-02-04 16:54:53.181833,0 days 00:00:56.879477,64.0,0.0002958132675300536,,56.82857275009155,COMPLETE
120,120,0.2703537918926839,2025-02-04 16:54:53.182078,2025-02-04 16:56:09.952080,0 days 00:01:16.770002,64.0,0.0001153469444469704,,76.71911263465881,COMPLETE
121,121,0.27174126445392915,2025-02-04 16:56:09.952315,2025-02-04 16:57:25.838723,0 days 00:01:15.886408,64.0,0.0003482502832544921,,75.83553957939148,COMPLETE
122,122,0.27072868792995936,2025-02-04 16:57:25.838955,2025-02-04 16:59:03.158638,0 days 00:01:37.319683,128.0,0.00026996311092290635,,97.26854681968689,COMPLETE
123,123,0.27036586057188033,2025-02-04 16:59:03.158874,2025-02-04 17:00:17.683851,0 days 00:01:14.524977,64.0,0.000294620811268921,,74.47411942481995,COMPLETE
124,124,0.2693610487581976,2025-02-04 17:00:17.684091,2025-02-04 17:01:14.186371,0 days 00:00:56.502280,64.0,0.00023015309180656547,,56.45128393173218,COMPLETE
125,125,0.27051417675323713,2025-02-04 17:01:14.186615,2025-02-04 17:03:21.865934,0 days 00:02:07.679319,64.0,0.0002125378536982602,,127.62836337089539,COMPLETE
126,126,0.270565531198419,2025-02-04 17:03:21.866172,2025-02-04 17:04:45.848338,0 days 00:01:23.982166,1024.0,0.00026215749806269184,,83.93101239204407,COMPLETE
127,127,0.27238686394532524,2025-02-04 17:04:45.848572,2025-02-04 17:06:29.704880,0 days 00:01:43.856308,64.0,0.0003632269899588099,,103.80517983436584,COMPLETE
