,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_pruned,user_attrs_training_time,state
0,0,0.2747486441154728,2025-01-28 18:21:25.713469,2025-01-28 18:32:29.138375,0 days 00:11:03.424906,0.6094358786115417,0.01641114483738424,0.0027348060431748107,8,0.07113831848174887,0.0002270464223052627,1.6254900786702666e-06,0.6331090971488338,,662.5328814983368,COMPLETE
1,1,0.5337718240651886,2025-01-28 18:32:29.138726,2025-01-28 18:48:14.811984,0 days 00:15:45.673258,0.580256570250921,0.037707508218719266,0.00015985823037440987,9,0.0036883136687857815,0.02683704654344794,3.048249274583692e-07,0.8350253713887147,,944.5088348388672,COMPLETE
2,2,0.2854228966486998,2025-01-28 18:48:14.812367,2025-01-28 18:59:12.473104,0 days 00:10:57.660737,0.6060581766047679,1.1668421487247229e-06,0.0023300948275885715,8,0.01503510387582249,4.227984843385649e-07,2.858545676177038e-06,0.605266834158342,,656.774600982666,COMPLETE
3,3,0.2456185706966103,2025-01-28 18:59:12.473487,2025-01-28 19:15:36.126152,0 days 00:16:23.652665,0.8501435841696814,5.576603677734262e-07,0.02216227218971294,10,3.452629869970862,6.96564225933544e-08,0.00013554752421121631,0.7642148090309838,,982.1030995845795,COMPLETE
4,4,0.2556885800754795,2025-01-28 19:15:36.126546,2025-01-28 19:24:00.336816,0 days 00:08:24.210270,0.9271563677379553,0.21812664615258773,0.005933320421835928,7,0.10045939095850152,1.0822751865585436e-07,7.2209832526455075e-06,0.9729994492137253,,503.45104813575745,COMPLETE
5,5,0.2564843193096234,2025-01-28 19:24:00.337225,2025-01-28 19:30:09.355703,0 days 00:06:09.018478,0.6102936326053682,0.020917288864111424,0.0074222847059572635,6,0.13488000128853325,1.6568248319347895e-08,2.9140680215356856e-08,0.8194227983554343,,368.35024213790894,COMPLETE
6,6,0.5389254574099419,2025-01-28 19:30:09.356081,2025-01-28 19:34:24.388084,0 days 00:04:15.032003,0.6793540812152282,0.00010853162623504423,0.0001563781150912603,4,1.3972565080698482,8.362996277322834e-06,0.001805504619201144,0.7711558004735465,,254.45539450645447,COMPLETE
7,7,0.2510716740402514,2025-01-28 19:34:24.388478,2025-01-28 19:38:12.241793,0 days 00:03:47.853315,0.6000215964235661,0.004899799312101801,0.04383300496256222,5,9.215421497094466,8.949069148767882e-05,0.050300540281905365,0.6524682652845626,,227.20046973228455,COMPLETE
8,8,0.24740513196902056,2025-01-28 19:38:12.242172,2025-01-28 19:44:02.595761,0 days 00:05:50.353589,0.779503931505525,2.9626087359327884e-07,0.055322808783449,7,5.708222055436698,1.7925245168333435e-05,6.855363723373576e-05,0.8447557700854214,,349.4999713897705,COMPLETE
9,9,0.24617584064567244,2025-01-28 19:44:02.596156,2025-01-28 19:56:05.521897,0 days 00:12:02.925741,0.9931823746253805,1.4404625060683705e-08,0.033350733822512364,9,1.495367762787157,1.8334992073634224e-08,0.3752514796405853,0.7000297578850282,,721.8066964149475,COMPLETE
10,10,0.25329464980805994,2025-01-28 19:56:05.522283,2025-01-28 19:59:51.808327,0 days 00:03:46.286044,0.6928276644899506,5.3634837192713316e-05,0.09715374245735968,10,1.9957728106532073,7.309305421618626e-08,8.743697426283902e-05,0.6905808864348001,,225.99326419830322,COMPLETE
11,11,0.25041507397714957,2025-01-28 19:59:51.808694,2025-01-28 20:06:46.699377,0 days 00:06:54.890683,0.9857026945358445,2.1043823411772834e-08,0.017117529064652456,7,0.46024051051341924,1.0888011226406718e-07,0.3219263222918443,0.6245576051956915,,414.0894320011139,COMPLETE
12,12,0.25637010665185095,2025-01-28 20:06:46.699764,2025-01-28 20:22:25.711189,0 days 00:15:39.011425,0.9259203082011644,1.1156175870526979e-07,0.0040355130833914085,9,2.3735873257910116,1.3909445222640568e-06,1.3599103823205409e-05,0.6358811455647421,,937.6182940006256,COMPLETE
13,13,0.2527900864558215,2025-01-28 20:22:25.711577,2025-01-28 20:27:32.114329,0 days 00:05:06.402752,0.9192992646263028,1.1658724428676375e-08,0.0898803815252642,10,0.014338737445344337,2.0230398564497704e-06,0.002535464961396653,0.7610503663127876,,306.0435483455658,COMPLETE
14,14,0.28727825783904565,2025-01-28 20:27:32.114726,2025-01-28 20:44:47.886403,0 days 00:17:15.771677,0.9263084523479486,3.767575022093803e-08,0.0022045159434114833,9,0.7706211231666299,1.4695277281545393e-06,0.0021862756462490557,0.9277151258533229,,1034.3339416980743,COMPLETE
15,15,0.24829943784483519,2025-01-28 20:44:47.886791,2025-01-28 20:53:04.141625,0 days 00:08:16.254834,0.9083908598102365,6.543377089025622e-05,0.060742227387826885,9,0.35685368754637936,4.723014919676482e-07,1.4005847422287318e-06,0.8956768083081705,,495.54996252059937,COMPLETE
16,16,0.2485372948885435,2025-01-28 20:53:04.142052,2025-01-28 21:03:02.524925,0 days 00:09:58.382873,0.7467858201457473,0.00018193929736971088,0.010926564810154216,8,1.1137658043505696,5.756591669194658e-07,0.6352489012992357,0.8363541259606784,,597.4524817466736,COMPLETE
17,17,0.24929145990956245,2025-01-28 21:03:02.525326,2025-01-28 21:17:33.226789,0 days 00:14:30.701463,0.778642581721795,1.0742164837038568e-06,0.0076655223047473004,9,0.4850581650220734,1.3451896687780538e-08,0.017519431866774834,0.7142356759016105,,869.3247547149658,COMPLETE
18,18,0.24975402488186868,2025-01-28 21:17:33.227224,2025-01-28 21:22:31.740441,0 days 00:04:58.513217,0.829790525572445,1.955921684897906e-08,0.030761035816690395,6,1.4583112777676537,2.542387080797192e-06,0.38348103223156055,0.8813801456413247,,297.78500270843506,COMPLETE
19,19,0.24594832413446985,2025-01-28 21:22:31.740835,2025-01-28 21:35:36.914274,0 days 00:13:05.173439,0.955724058621432,4.184455272844286e-06,0.02057884227536203,9,2.617904070727352,2.478794929871732e-08,0.9979066465549253,0.9332303165168376,,783.8499035835266,COMPLETE
20,20,0.2968559660272619,2025-01-28 21:35:36.914693,2025-01-28 21:59:34.638703,0 days 00:23:57.724010,0.8586802392689977,0.0003258199966832316,0.0019225625758817913,10,1.2634649927241048,5.37996426909861e-08,9.156225402449711e-08,0.7709250561109249,,1436.2197704315186,COMPLETE
21,21,0.2484422518582179,2025-01-28 21:59:34.639770,2025-01-28 22:07:37.974897,0 days 00:08:03.335127,0.9473389387419684,1.0509532979613743e-07,0.0671947421235532,10,1.120957542683759,1.8987316294544505e-08,0.5215565681211194,0.9652064647482416,,482.76921463012695,COMPLETE
22,22,0.24846019016235524,2025-01-28 22:07:37.975323,2025-01-28 22:18:56.171542,0 days 00:11:18.196219,0.9573899461183096,3.6590894533266156e-07,0.048781722104444016,10,7.331348732377167,6.721931289957434e-08,0.057352578244802006,0.5367665271685078,,677.3307638168335,COMPLETE
23,23,0.2518415454969953,2025-01-28 22:18:56.172003,2025-01-28 22:42:21.695555,0 days 00:23:25.523552,0.9957244167861514,0.023180953147234843,0.0045333567659118544,10,3.032499014532417,4.185438784690998e-07,0.11120228889288866,0.7831717320752655,,1404.105316877365,COMPLETE
24,24,0.24581570416261675,2025-01-28 22:42:21.696518,2025-01-28 22:54:57.788306,0 days 00:12:36.091788,0.9776024962348954,4.5094223264468056e-05,0.04018848800153264,9,0.12004274139136648,3.87062753544644e-08,0.8159350224758495,0.7875541223969343,,754.9815487861633,COMPLETE
25,25,0.2470833399188335,2025-01-28 22:54:57.788749,2025-01-28 23:12:38.068799,0 days 00:17:40.280050,0.9523526642609808,0.00013725066741465344,0.03493771134194561,10,0.02232271733318084,3.396927380336733e-07,0.04125435304071329,0.7547502445854078,,1058.9398260116577,COMPLETE
26,26,0.28573581299982287,2025-01-28 23:12:38.069256,2025-01-28 23:30:18.775226,0 days 00:17:40.705970,0.961106585353831,3.058715370675538e-07,0.002209098769962385,9,7.948449344597427,1.7008774836708348e-07,0.4106114582890475,0.9438635831075911,,1059.5599768161774,COMPLETE
27,27,0.2467996216483969,2025-01-28 23:30:18.775656,2025-01-28 23:42:48.621375,0 days 00:12:29.845719,0.99378371523509,0.00032353480935279436,0.05327632042995169,9,0.44469540346225245,3.044982979515255e-08,0.7069723840926669,0.8715729052624113,,748.7234528064728,COMPLETE
28,28,0.24945537951146987,2025-01-28 23:42:48.621856,2025-01-28 23:50:46.830355,0 days 00:07:58.208499,0.6624256859115454,1.0048760131480293e-08,0.05520010364002689,10,5.880983059311508,8.988473901100882e-05,3.271115465163398e-05,0.5273718719277062,,477.52914214134216,COMPLETE
29,29,0.25494113963600834,2025-01-28 23:50:46.830834,2025-01-28 23:55:20.681469,0 days 00:04:33.850635,0.9630108508280203,7.958515693222713e-05,0.0163739794165774,5,1.0757612190114778,4.697512558241024e-07,0.08261571354973328,0.9854806227374736,,273.2324662208557,COMPLETE
30,30,0.2529990978234716,2025-01-28 23:55:20.681957,2025-01-29 00:17:34.393652,0 days 00:22:13.711695,0.7674130658473839,1.0812494744730901e-07,0.004193694255405379,10,3.6564550632378143,2.3231813105238178e-08,5.308908301415865e-05,0.8577577091466246,,1331.8346889019012,COMPLETE
31,31,0.2462344062367904,2025-01-29 00:17:34.394486,2025-01-29 00:36:20.602896,0 days 00:18:46.208410,0.959475846235595,9.160348931389509e-07,0.012763513155393211,10,3.1097811310855437,3.822064162763789e-07,0.045088890018796485,0.7724841160780677,,1124.5508863925934,COMPLETE
32,32,0.2472081051031814,2025-01-29 00:36:20.603359,2025-01-29 00:45:25.745204,0 days 00:09:05.141845,0.8565668070858001,3.486616797383168e-05,0.018417783994691506,8,4.85098972314724,2.671557057132335e-08,0.03317774844362362,0.9343487153251185,,544.2178170681,COMPLETE
33,33,0.4247910987711942,2025-01-29 00:45:25.745913,2025-01-29 00:57:06.250749,0 days 00:11:40.504836,0.8280205625406505,0.038030600841702795,0.000651452571438522,8,0.010691749660328046,1.6761787374331472e-07,0.013445860533176372,0.5239175856931917,,699.5835647583008,COMPLETE
34,34,0.2470112553157724,2025-01-29 00:57:06.251439,2025-01-29 01:08:25.214514,0 days 00:11:18.963075,0.8571488903224045,1.635338484299483e-05,0.050949619500660605,9,0.021699957032251704,2.330510753332253e-08,0.18534596129475298,0.9099752910169763,,677.9621593952179,COMPLETE
35,35,0.2487956679147787,2025-01-29 01:08:25.214984,2025-01-29 01:17:12.138326,0 days 00:08:46.923342,0.9896646928175836,1.3618809053024054e-07,0.06229098664167061,9,0.10717333667664782,1.8426002577265818e-08,0.12378934043339045,0.7524437012119435,,526.1724853515625,COMPLETE
36,36,0.24573513299219854,2025-01-29 01:17:12.138841,2025-01-29 01:33:03.046326,0 days 00:15:50.907485,0.8128354799128316,2.5771186025210297e-06,0.018425132707615994,10,6.360563834254321,9.089062986569917e-07,1.329566080604682e-05,0.7451624300577013,,949.3786051273346,COMPLETE
37,37,0.24827880175617958,2025-01-29 01:33:03.046791,2025-01-29 01:42:45.749410,0 days 00:09:42.702619,0.9315253809932056,2.466609631682573e-08,0.012925635308217194,8,8.003078766810747,4.280268699582335e-08,3.2328192563989066e-05,0.7695799893665488,,581.7769875526428,COMPLETE
38,38,0.25043809105030074,2025-01-29 01:42:45.750113,2025-01-29 01:47:48.840834,0 days 00:05:03.090721,0.8448509954193673,2.173532902213027e-06,0.08109641740595126,10,6.198832252472411,2.1973768289058007e-06,5.439801865484318e-05,0.707824412122406,,302.7015645503998,COMPLETE
39,39,0.3039977434876104,2025-01-29 01:47:48.841429,2025-01-29 01:51:18.280031,0 days 00:03:29.438602,0.8484655237135094,0.0002644065957632339,0.002477004122312981,3,0.002145330570927389,0.011941986794742681,5.7146500945782664e-08,0.9504730137252057,,208.8935103416443,COMPLETE
40,40,0.24984985600314644,2025-01-29 01:51:18.280514,2025-01-29 02:01:33.245840,0 days 00:10:14.965326,0.7621140191044236,1.92929099546349e-06,0.008262738750703685,8,6.947491727645135,7.771436839521087e-07,0.00010984225769525325,0.6680900191163596,,614.0574581623077,COMPLETE
41,41,0.2466785144255014,2025-01-29 02:01:33.246553,2025-01-29 02:20:04.661639,0 days 00:18:31.415086,0.8224398883512186,6.203156022842809e-06,0.009501018661670973,10,4.366434172349698,3.4184535912461464e-06,7.466629004866954e-07,0.6601532412132316,,1109.7189722061157,COMPLETE
42,42,0.24746985416538428,2025-01-29 02:20:04.662094,2025-01-29 02:39:15.735354,0 days 00:19:11.073260,0.9131540573402308,1.7968997321760337e-08,0.012242144041621758,10,0.878861184393516,1.9537027985648387e-08,0.018076949738928615,0.631262622171087,,1149.320648908615,COMPLETE
43,43,0.24850936865643725,2025-01-29 02:39:15.735814,2025-01-29 02:49:27.978295,0 days 00:10:12.242481,0.913173510144924,1.596266535268674e-08,0.057139392526370056,10,1.8162545694514933,1.8842944478116043e-08,0.16320957994548196,0.7524413814586539,,611.490837097168,COMPLETE
44,44,0.5472726398391149,2025-01-29 02:49:27.978779,2025-01-29 02:58:12.865400,0 days 00:08:44.886621,0.795580969953276,2.271036665437476e-05,0.00011566163550659303,7,0.006043368968347446,8.99012471929717e-08,0.027802863685527777,0.7840550415003977,,524.1307978630066,COMPLETE
45,45,0.24533565795653764,2025-01-29 02:58:12.866002,2025-01-29 03:14:38.805514,0 days 00:16:25.939512,0.9257403341857611,3.5727890090802002e-06,0.022199795833469347,10,6.681706150792793,2.8622870012784135e-08,3.323555436786756e-05,0.9029423120903125,,984.3871397972107,COMPLETE
46,46,0.24598158173312798,2025-01-29 03:14:38.805985,2025-01-29 03:25:53.647851,0 days 00:11:14.841866,0.9609950562338221,2.7378730957202533e-07,0.03846609446830713,9,8.023070431348938,4.820041464051694e-07,0.0011689569262527688,0.965037660438305,,673.7630417346954,COMPLETE
47,47,0.24623514009319594,2025-01-29 03:25:53.648343,2025-01-29 03:46:08.576807,0 days 00:20:14.928464,0.9066049409403741,2.3254478580665014e-06,0.00964666513990957,10,5.058702925873548,1.294515810010422e-08,0.00020513599192492366,0.9391175837253853,,1213.1664474010468,COMPLETE
48,48,0.24891005992821258,2025-01-29 03:46:08.577293,2025-01-29 03:50:47.439904,0 days 00:04:38.862611,0.8944441821690449,0.00022860860151162641,0.06956428918569928,6,0.008432071512848681,5.79016427996421e-05,0.02436648364353058,0.8160879142209521,,278.1333682537079,COMPLETE
49,49,0.298305181935887,2025-01-29 03:50:47.440569,2025-01-29 03:54:14.484420,0 days 00:03:27.043851,0.5857273194746822,1.8406572603759738e-06,0.0027142834339522904,3,0.002568684477651497,1.0583897442922423e-07,2.1546965122035218e-05,0.7662661596338725,,206.49962496757507,COMPLETE
50,50,0.2484847913320748,2025-01-29 03:54:14.484895,2025-01-29 04:00:34.989491,0 days 00:06:20.504596,0.9618117379095681,9.708612593702609e-05,0.07804476016927459,9,2.21893506609467,0.004250527261113016,0.659517281124584,0.8076490948657562,,379.96231389045715,COMPLETE
51,51,0.2465330677069324,2025-01-29 04:00:34.990176,2025-01-29 04:18:48.804279,0 days 00:18:13.814103,0.962451274314079,7.613988345065998e-06,0.01583975382433594,10,5.269459277439105,0.00011057787339953204,4.3473806643659246e-05,0.9984090850421705,,1092.204707622528,COMPLETE
52,52,0.2471251511569259,2025-01-29 04:18:48.804720,2025-01-29 04:27:54.980832,0 days 00:09:06.176112,0.9900902117353455,1.2225283050973385e-06,0.021020835594793053,8,5.581876010429924,1.1456547803573469e-07,0.00011698465156734944,0.9835171943727044,,545.2588310241699,COMPLETE
53,53,0.24626919805436853,2025-01-29 04:27:54.981566,2025-01-29 04:46:18.020447,0 days 00:18:23.038881,0.8127215891732354,5.5444395428014154e-06,0.013853300440907022,10,1.1671221433634336,7.751135165400508e-08,6.064986699687947e-06,0.8075322104683698,,1101.2664306163788,COMPLETE
54,54,0.25023121420653743,2025-01-29 04:46:18.020922,2025-01-29 04:51:21.027413,0 days 00:05:03.006491,0.9699556107393694,1.4367543516555623e-07,0.09110108369822398,9,1.860176440103409,1.6794869745630953e-05,0.0001724318962659918,0.872756941003797,,302.5570077896118,COMPLETE
55,55,0.25316383163174544,2025-01-29 04:51:21.028044,2025-01-29 04:56:47.748341,0 days 00:05:26.720297,0.536387119887115,0.0011046996216723228,0.013123074917623923,6,0.0024917614241352147,1.5313109728905753e-08,0.5661525597604625,0.5714270894479991,,326.038400888443,COMPLETE
56,56,0.24889064549159354,2025-01-29 04:56:47.749132,2025-01-29 05:03:34.744714,0 days 00:06:46.995582,0.9556804186437236,2.587733941208142e-07,0.020804783179906965,7,6.893828766664117,1.0286585048642576e-07,0.5036500584332556,0.9139662862769421,,406.1752634048462,COMPLETE
57,57,0.25129169700245474,2025-01-29 05:03:34.745338,2025-01-29 05:08:08.831552,0 days 00:04:34.086214,0.832337389390192,2.7284571382746376e-05,0.09049442135597852,9,0.3471171226670032,1.6373027958168672e-08,0.18777394589204605,0.6935854488451249,,273.67917227745056,COMPLETE
58,58,0.25085344863851994,2025-01-29 05:08:08.832148,2025-01-29 05:13:48.279220,0 days 00:05:39.447072,0.845278949716503,1.696198089001075e-06,0.08769387606943556,10,0.7410273123460289,1.6194531205400537e-06,0.0021407662141623225,0.9912264197137408,,339.0336673259735,COMPLETE
59,59,0.24598202115553539,2025-01-29 05:13:48.279907,2025-01-29 05:25:06.625731,0 days 00:11:18.345824,0.6738534030835387,1.3375615130867785e-07,0.027264419796153554,9,2.9568258851506717,8.830402307957193e-06,3.857093465242478e-07,0.826545158153407,,677.0318937301636,COMPLETE
60,60,0.3098298937618429,2025-01-29 05:25:06.626219,2025-01-29 05:30:28.646239,0 days 00:05:22.020020,0.7760017614815382,1.6824323973143526e-08,0.0019734078744983673,5,0.12839407356539262,0.5335927103502013,0.017366497712822487,0.5545385284474805,,321.44148421287537,COMPLETE
61,61,0.24772073317614318,2025-01-29 05:30:28.646885,2025-01-29 05:36:25.659591,0 days 00:05:57.012706,0.6223679591691776,4.062336706622082e-07,0.03359132778684396,7,4.607694134861072,0.011005288242743983,1.144822953678595e-07,0.8037940153437456,,356.1843202114105,COMPLETE
62,62,0.24692732559522143,2025-01-29 05:36:25.660172,2025-01-29 05:49:10.792028,0 days 00:12:45.131856,0.5818513625233707,6.317960215017761e-06,0.011344279122580934,9,3.546587922818128,2.7024993990273194e-06,2.696800666065952e-07,0.8355818114681369,,763.8121953010559,COMPLETE
